chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
128MB,temporal,8.19 GB,cheyenne,32,anomaly,33.18580913543701,2
256MB,temporal,16.38 GB,cheyenne,32,global_mean,0.4799911975860596,2
256MB,temporal,16.38 GB,cheyenne,32,temporal_mean,0.79935622215271,2
256MB,temporal,16.38 GB,cheyenne,32,climatology,0.9763512611389159,2
256MB,temporal,16.38 GB,cheyenne,32,anomaly,69.82125234603882,2
512MB,temporal,32.77 GB,cheyenne,32,global_mean,1.0154089927673342,2
512MB,temporal,32.77 GB,cheyenne,32,temporal_mean,1.134956121444702,2
512MB,temporal,32.77 GB,cheyenne,32,climatology,1.3592209815979004,2
512MB,temporal,32.77 GB,cheyenne,32,anomaly,156.30767130851748,2
8MB,temporal,8.85 MB,cheyenne,1,global_mean,0.09542036056518556,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.026969432830810547,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.03704833984375,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.0699462890625,1
16MB,temporal,16.72 MB,cheyenne,1,global_mean,0.03760910034179688,1
16MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.034117698669433594,1
16MB,temporal,16.72 MB,cheyenne,1,climatology,0.047018766403198235,1
16MB,temporal,16.72 MB,cheyenne,1,anomaly,0.1112983226776123,1
32MB,temporal,32.45 MB,cheyenne,1,global_mean,0.05599832534790039,1
32MB,temporal,32.45 MB,cheyenne,1,temporal_mean,0.039870023727416985,1
32MB,temporal,32.45 MB,cheyenne,1,climatology,0.06461858749389647,1
32MB,temporal,32.45 MB,cheyenne,1,anomaly,0.1419670581817627,1
64MB,temporal,64.89 MB,cheyenne,1,global_mean,0.0917799472808838,1
64MB,temporal,64.89 MB,cheyenne,1,temporal_mean,0.06211757659912109,1
64MB,temporal,64.89 MB,cheyenne,1,climatology,0.12170934677124025,1
